question_id,user_id,score,view_count,up_vote_count,down_vote_count,answer_count,creation_date
67730171,12647879,1,51,1,0,1,1622150608
67729943,2185588,0,46,0,0,1,1622149381
67729725,1310511,0,19,0,0,1,1622148211
67729121,14241012,0,23,0,0,1,1622145433
67726757,2241963,0,11,0,0,0,1622134789
67726743,10805602,0,17,0,0,1,1622134737
67725031,5722864,2,90,2,0,1,1622128184
67724644,16049853,0,30,0,0,1,1622126931
67724641,14908618,1,50,1,0,1,1622126926
67724167,9574556,0,27,0,0,0,1622125446
67723609,11014800,0,13,0,0,0,1622123575
67722175,14806644,0,61,0,0,1,1622118671
67721375,808655,0,24,0,0,0,1622115531
67721367,4335622,0,14,0,0,0,1622115509
67720251,16047564,0,37,0,0,1,1622111120
67720192,2046453,1,32,1,0,1,1622110920
67715752,2500475,0,35,0,0,0,1622090227
67715621,3934058,-1,32,0,1,2,1622089140
67714574,8118852,0,23,0,0,0,1622079080
67713533,2343779,0,149,0,0,1,1622068503
67713197,8909353,0,12,0,0,0,1622066135
67713182,2714150,2,43,2,0,0,1622066007
67710917,11470342,1,49,1,0,1,1622054365
67710240,8093826,0,105,0,0,1,1622051515
67710155,14282212,0,24,0,0,0,1622051133
67709944,16040347,-1,78,0,1,2,1622050117
67708954,2714150,0,24,0,0,1,1622046006
67707555,4702296,0,26,0,0,0,1622041132
67707170,12767817,0,10,0,0,0,1622039919
67706537,2692353,0,26,0,0,1,1622037678
67706407,16038462,0,12,0,0,1,1622037286
67705778,11699224,0,78,0,0,0,1622035205
67705619,14998430,0,13,0,0,0,1622034586
67705230,373438,0,67,0,0,1,1622033319
67703862,15989372,0,70,0,0,1,1622028107
67702607,16025178,0,15,1,1,0,1622022991
67702087,16035816,0,43,0,0,0,1622021008
67701702,14762661,0,24,0,0,1,1622019500
67701695,16035487,1,54,1,0,1,1622019463
67700043,6604134,0,13,0,0,1,1622012620
67699360,13718606,0,26,0,0,1,1622009278
67698992,10758175,1,43,1,0,0,1622006853
67698330,14671096,-1,31,0,1,1,1622001543
67696196,15205899,0,12,0,0,0,1621980706
67696010,16031320,0,93,0,0,1,1621979453
67695461,8233361,0,64,0,0,1,1621975895
67694249,10392421,0,20,0,0,1,1621970089
67694179,16030347,0,8,0,0,0,1621969765
67694097,2326961,0,60,1,1,1,1621969412
67691264,15905432,-1,38,0,1,1,1621957167
67691163,9230912,0,11,0,0,0,1621956744
67690868,15356959,0,16,0,0,1,1621955641
67690156,14393923,1,67,1,0,1,1621953294
67690005,15184548,1,37,1,0,1,1621952748
67689963,3641900,0,78,0,0,1,1621952592
67689956,10690722,0,78,0,0,1,1621952569
67689615,11674841,0,44,0,0,1,1621951390
67688621,10063509,-1,37,0,1,3,1621948053
67688307,14084696,1,70,1,0,0,1621947032
67687613,10216533,1,55,1,0,0,1621944555
67684993,1103956,0,17,0,0,0,1621933901
67684625,9901797,0,50,1,1,1,1621932390
67684023,16024091,1,118,1,0,1,1621929948
67682223,8243861,0,12,0,0,0,1621920457
67681079,10317086,0,26,0,0,2,1621910733
67679872,1261764,0,50,0,0,2,1621897863
67679177,9015770,0,22,0,0,0,1621891953
67679120,4373844,-1,129,0,1,2,1621891520
67678011,16019814,0,13,0,0,1,1621885042
67677779,5686886,0,100,1,1,1,1621883877
67676926,4605359,0,258,0,0,1,1621879799
67674434,11834812,0,77,0,0,1,1621868696
67672208,16016629,0,33,1,1,0,1621859876
67672190,12640056,0,47,0,0,0,1621859778
67672159,13760819,1,68,1,0,1,1621859597
67671282,1658099,1,432,1,0,1,1621855642
67670907,1890278,1,135,1,0,2,1621853960
67668368,11950776,0,74,0,0,1,1621842325
67667149,12125546,0,33,0,0,1,1621834835
67666525,15031488,0,188,0,0,1,1621829022
67665168,10787804,0,14,0,0,0,1621811630
67664883,1113421,0,12,0,0,0,1621808297
67664407,16010710,0,53,0,0,1,1621804253
67664388,11529740,0,126,0,0,1,1621804145
67663252,9148077,-1,85,0,1,1,1621795394
67662338,14697173,0,173,0,0,1,1621789368
67661194,12691708,0,66,0,0,2,1621782282
67660218,13716227,0,22,0,0,0,1621775991
67660075,4743300,0,28,0,0,0,1621775127
67659968,1385673,0,18,0,0,0,1621774471
67658095,5566299,0,83,0,0,0,1621761371
67656236,16004995,0,37,0,0,1,1621745321
67655475,2326961,2,106,2,0,2,1621734132
67655135,9101092,0,13,0,0,0,1621728842
67654987,10796313,0,74,0,0,0,1621726515
67654203,14949663,0,68,0,0,3,1621717721
67652413,2888657,0,28,0,0,0,1621704913
67652196,14489358,1,59,1,0,1,1621703423
67651427,2893024,1,19,1,0,0,1621698403
67651129,14850389,0,42,0,0,1,1621696684
67650621,15878013,0,32,0,0,1,1621693748
67650529,14348472,1,23,1,0,1,1621693262
67649464,12444418,1,256,1,0,3,1621686502
67648963,15978837,0,22,0,0,1,1621682982
67648947,9601284,0,78,0,0,2,1621682830
67648938,960662,0,45,0,0,0,1621682739
67648916,8006169,0,177,0,0,0,1621682576
67648553,7553089,0,35,0,0,0,1621679990
67647089,11826670,0,23,0,0,1,1621668318
67645575,1018733,0,694,0,0,3,1621650749
67645112,1743512,0,28,0,0,0,1621643621
67643388,13939521,0,23,0,0,0,1621628085
67642641,3806530,1,22,1,0,1,1621623891
67642427,14939592,0,35,0,0,0,1621622795
67641785,10330246,0,653,0,0,1,1621619696
67640944,14999756,0,63,0,0,1,1621615800
67640732,15993995,0,5,0,0,0,1621614842
67640411,1312704,0,110,0,0,1,1621613321
67637939,15935387,0,60,0,0,1,1621604258
67635596,15991340,1,256,1,0,1,1621594976
67635114,26414,1,67,1,0,2,1621592879
67634591,15972838,0,181,0,0,0,1621590740
67634254,13175800,0,35,0,0,0,1621589509
67634098,6542240,0,27,0,0,1,1621588951
67634089,9457044,0,12,0,0,0,1621588941
67634047,7611383,0,38,0,0,0,1621588772
67632793,13331446,0,206,1,1,1,1621583475
67632287,15989372,1,79,1,0,1,1621580907
67631658,12827613,0,54,0,0,1,1621577664
67630317,4702296,0,88,0,0,0,1621566258
67630145,13010126,0,46,0,0,1,1621564341
67629242,2565520,0,13,0,0,0,1621554140
67627945,2699001,-1,61,0,1,2,1621544852
67627690,14671096,0,40,0,0,0,1621543460
67627647,4139444,0,60,0,0,1,1621543286
67627029,15985090,0,20,0,0,0,1621539888
67626998,4397682,0,25,0,0,1,1621539783
67626854,13431136,0,405,0,0,1,1621538935
67626356,9596364,0,32,0,0,0,1621536330
67626115,12900176,1,25,1,0,1,1621535301
67624949,2782660,0,21,0,0,1,1621530288
