question_id,user_id,score,view_count,up_vote_count,down_vote_count,answer_count,creation_date
67721678,14770271,-1,25,1,2,1,1622116824
67721323,4786058,2,101,2,0,1,1622115314
67717469,2796009,0,56,0,0,1,1622100256
67715869,893898,0,20,0,0,0,1622091243
67715803,15187513,0,38,0,0,1,1622090694
67714137,1938988,2,97,2,0,1,1622074371
67714038,1938988,0,21,0,0,1,1622073053
67713345,16042251,2,64,2,0,0,1622067150
67711574,7785731,0,17,0,0,0,1622057571
67709610,16040248,0,30,0,0,0,1622048680
67708666,10981110,1,45,1,0,0,1622045046
67707389,9279003,0,269,0,0,1,1622040615
67706272,11213323,-1,30,0,1,1,1622036795
67704069,2713632,-1,39,0,1,1,1622029018
67703594,1557581,0,24,0,0,0,1622026943
67703154,13110027,0,13,0,0,0,1622025082
67703021,8130530,1,92,1,0,0,1622024582
67701756,8142955,0,35,0,0,1,1622019689
67700615,14648997,0,153,0,0,1,1622015132
67699967,2624698,0,38,0,0,1,1622012232
67694220,5545991,-1,149,1,2,1,1621969960
67693406,16029808,0,15,0,0,0,1621966049
67693214,14441912,0,30,0,0,0,1621965209
67692244,11452862,2,387,2,0,2,1621960900
67691550,14734467,1,87,1,0,0,1621958195
67691196,10822760,-1,35,0,1,1,1621956854
67689743,7981162,0,21,0,0,1,1621951794
67688812,8975847,0,38,0,0,0,1621948646
67688302,8593007,0,35,0,0,0,1621947025
67686559,16025994,-1,33,0,1,1,1621940193
67686403,6841988,0,206,0,0,0,1621939540
67686362,10601541,0,135,0,0,2,1621939354
67685822,2989034,1,185,1,0,2,1621937077
67685023,16001720,1,135,1,0,0,1621934063
67683493,12540500,0,18,0,0,0,1621927668
67683419,1593238,1,224,1,0,1,1621927305
67682961,15046118,-1,175,0,1,1,1621925080
67682449,948414,2,83,2,0,0,1621922142
67681476,14168813,0,62,0,0,0,1621914020
67679199,16020439,1,35,1,0,0,1621892081
67677933,4475632,0,13,0,0,1,1621884687
67677676,10649873,3,467,3,0,2,1621883337
67677114,14879604,0,45,0,0,0,1621880724
67675839,10981110,0,94,0,0,0,1621874435
67675586,9685218,1,60,1,0,0,1621873266
67675102,5658805,1,335,1,0,1,1621871282
67675052,14235910,0,19,0,0,0,1621871127
67674217,16001720,-1,404,0,1,1,1621867930
67672843,4846437,0,53,0,0,0,1621862659
67669324,4145294,0,67,1,1,0,1621846986
67668851,2715312,1,140,1,0,1,1621844697
67663424,14923546,0,28,1,1,1,1621796794
67663082,1870648,0,27,1,1,1,1621794293
67662343,11421029,0,89,0,0,0,1621789385
67659937,167670,1,772,2,1,1,1621774313
67659563,519002,2,34,2,0,1,1621771659
67658812,6111475,0,94,1,1,2,1621766631
67658709,1434847,0,24,0,0,1,1621765938
67657738,15492829,2,1479,3,1,1,1621758706
67657518,12472260,0,40,0,0,0,1621756985
67657478,7440683,0,19,0,0,1,1621756683
67656895,9885182,1,116,1,0,1,1621752009
67656863,1111551,1,161,1,0,1,1621751733
67652394,15894743,0,81,0,0,0,1621704793
67651763,4061068,1,50,2,1,1,1621700467
67651741,13036378,1,117,1,0,1,1621700312
67651682,not informed,1,30,2,1,0,1621699914
67651187,7820665,0,75,0,0,1,1621697029
67650492,7142629,1,107,1,0,1,1621692991
67650382,14676934,0,47,0,0,0,1621692302
67649423,1103863,0,20,0,0,0,1621686301
67646935,15046118,-1,17,0,1,1,1621666914
67645543,11854352,0,71,0,0,2,1621650272
67644476,9566145,1,199,1,0,1,1621636210
67643947,12935154,0,97,0,0,1,1621631932
67643171,13850427,0,193,0,0,0,1621626679
67642671,1227012,0,48,0,0,0,1621624029
67640851,6923941,0,39,0,0,0,1621615342
67638531,12217099,0,13,0,0,0,1621606186
67637719,12077908,2,170,2,0,0,1621603464
67636898,15992042,0,27,0,0,0,1621600243
67633230,8090329,0,48,0,0,1,1621585386
67632105,15974199,0,11,0,0,0,1621580037
67631674,11372697,1,56,1,0,2,1621577773
67627827,15985653,2,60,2,0,0,1621544161
67625612,14711175,0,24,0,0,1,1621533194
67624906,2881345,-1,77,0,1,1,1621530099
67623964,12395264,0,71,0,0,0,1621526178
67623480,8687605,0,65,0,0,0,1621524520
67623197,1952287,0,117,1,1,0,1621523500
67621058,1252575,0,56,0,0,1,1621516438
67620393,6126595,0,12,0,0,1,1621513829
67618812,716568,0,28,0,0,2,1621507377
67618711,12267355,0,13,0,0,0,1621507065
67617067,482717,1,208,2,1,2,1621500705
67612726,13625491,0,99,0,0,1,1621473267
67612091,15976027,0,24,2,2,0,1621466181
67611433,9518688,0,147,0,0,0,1621461515
67611319,15790906,0,21,0,0,0,1621460753
67610734,15972340,0,62,0,0,0,1621457529
67610051,4567295,0,13,0,0,0,1621454258
67608999,14747159,1,25,1,0,0,1621449260
67608984,15974168,0,54,0,0,0,1621449203
67608541,15492829,-1,67,0,1,1,1621447228
67604846,2175806,0,32,0,0,0,1621433185
67601841,3022175,0,258,0,0,1,1621421496
67601205,14864319,0,158,0,0,1,1621418947
67600605,10046099,0,158,0,0,0,1621416789
67599913,6169641,1,44,1,0,0,1621414230
67599129,4195561,0,120,0,0,1,1621411116
67598756,11372697,0,100,0,0,1,1621409499
67598329,10560971,0,226,0,0,1,1621407473
67598323,10062890,0,19,0,0,0,1621407449
67598202,13954388,0,73,0,0,0,1621406914
67597769,3200704,0,74,0,0,0,1621404297
67596853,15525860,0,26,0,0,0,1621397691
67596763,6169641,0,434,0,0,1,1621396905
67596699,2958377,0,98,0,0,0,1621396454
67595385,11258147,0,135,0,0,0,1621382911
67594809,2475569,1,397,1,0,1,1621377430
67594585,2697734,0,25,0,0,0,1621376062
67593808,4132369,2,24,2,0,1,1621371231
67592564,10046099,1,27,1,0,0,1621364941
67591955,519504,0,243,0,0,1,1621362101
67591385,10981110,0,29,0,0,0,1621359646
67591291,716568,0,13,0,0,0,1621359228
67590883,5708952,0,45,0,0,0,1621357607
67590796,4995200,0,137,0,0,1,1621357255
67590183,1007922,0,81,0,0,0,1621354832
67589174,8421341,0,91,1,1,1,1621351037
67588499,2891356,0,25,0,0,0,1621348747
67588122,10352020,-1,43,0,1,1,1621347447
